,AreaName,AvgPrice,Latitude,Longitude,PinCode,District
331,Kalkaji Extension,10735.93,28.541421,77.255747,110019,South East Delhi District
332,Karkardooma,7458.85,28.649875,77.302592,110092,Shahdara District
333,Sudarshan Park,11158.02,28.660094,77.132877,110015,West District
334,Chirag Delhi,11406.25,28.538589,77.228025,110017,South District
335,D K Road,11309.94,28.711063,77.262982,110094,North East District
336,Dwarka Sector 9,10563.29,28.57934,77.065129,110077,South West District
337,Madhu Vihar,11541.67,28.601681,77.059258,110059,South West District
338,Munirka Vihar,14117.65,28.553441,77.174918,110067,New Delhi District
339,Pocket 2 Sector 6 Dwarka,10415.58,28.59122,77.059791,110075,South West District
340,Zakir Nagar,4916.67,28.56727,77.279498,110025,South East Delhi District
341,Gujranwala Town,10146.1,28.638975,77.08086,110018,West District
342,Kalyan Vihar,3589.74,28.691047,77.197438,110009,North District
343,Pipal Wala Road,4612.04,28.620387,77.039184,110059,West District
344,Sector 19,12156.18,28.577133,77.052768,110075,South West District
345,South Anarkali Delhi,11111.11,28.515603,77.227055,,South District
346,Sunlight Colony,6857.14,28.576913,77.258301,110014,South East Delhi District
347,Ashok Vihar Phase-1,8641.98,28.6916,77.167153,110052,North West District
348,Dwarka Sector 17,8658.35,28.591823,77.028044,110078,South West District
349,Inderpuri,661.4,28.631922,77.147498,110012,New Delhi District
350,Old Delhi,10747.13,28.563078,77.289901,110025,South East Delhi District
351,Sector 4 Rohini,9500,28.707737,77.10273,110085,North West District
352,Vinod Nagar North,5776.38,28.626427,77.290015,110092,East District
353,Wea,18607.86,28.632694,77.21966,,
354,Alaknanda Gangotri Enclave,14507.67,28.524453,77.252141,110019,South East Delhi District
355,Ashram,14973.26,28.578917,77.259447,110014,South East Delhi District
356,Baljeet Nagar,2921.35,28.653045,77.15715,110008,West District
357,Budh Vihar,2555.56,28.622737,77.313299,110091,East District
358,Devli Nai Basti,416.67,28.505528,77.234013,110062,South District
359,Govindpura,5873.02,28.645781,77.284887,110051,East District
360,Kalkaji Main,14000,28.541421,77.255747,110019,South East Delhi District
361,Roop Nagar,27247.96,28.684984,77.20039,110007,Central District
362,Sirifort Road,38888.89,28.597113,77.132191,110010,New Delhi District
363,Subhash Park Extn New Delhi,4400,28.679682,77.276699,110032,Shahdara District
364,Vishwas Park Extn Uttam Nagar,3500,28.610002,77.057957,110059,West District
365,Wazirabad,4117.65,28.724929,77.224245,110084,Central District
366,Babarpur,7222.22,28.688691,77.279249,110032,Shahdara District
367,Bali Nagar,4444.44,28.653915,77.128918,110015,West District
